venue,date,batter_name,runs,fours,sixes
"Eden Gardens, Kolkata",2025-03-22,de Kock (wk),4,1,0
"Eden Gardens, Kolkata",2025-03-22,Narine,44,5,3
"Eden Gardens, Kolkata",2025-03-22,Ajinkya Rahane (c),56,6,4
"Eden Gardens, Kolkata",2025-03-22,Venkatesh Iyer,6,1,0
"Eden Gardens, Kolkata",2025-03-22,Angkrish Raghuvanshi,30,2,1
"Eden Gardens, Kolkata",2025-03-22,Rinku Singh,12,1,0
"Eden Gardens, Kolkata",2025-03-22,Russell,4,1,0
"Eden Gardens, Kolkata",2025-03-22,Ramandeep Singh,6,0,0
"Eden Gardens, Kolkata",2025-03-22,Harshit Rana,5,1,0
"Eden Gardens, Kolkata",2025-03-22,Spencer Johnson,1,0,0
"Eden Gardens, Kolkata",2025-03-22,Hazlewood,4,2,0
"Eden Gardens, Kolkata",2025-03-22,Yash Dayal,3,1,0
"Eden Gardens, Kolkata",2025-03-22,Rasikh Salam,3,1,0
"Eden Gardens, Kolkata",2025-03-22,Krunal Pandya,4,3,0
"Eden Gardens, Kolkata",2025-03-22,Suyash Sharma,4,1,0
"Eden Gardens, Kolkata",2025-03-22,Livingstone,2,0,0
"Eden Gardens, Kolkata",2025-03-22,Philip Salt,56,9,2
"Eden Gardens, Kolkata",2025-03-22,Virat Kohli,59,4,3
"Eden Gardens, Kolkata",2025-03-22,Devdutt Padikkal,10,1,0
"Eden Gardens, Kolkata",2025-03-22,Rajat Patidar (c),34,5,1
"Eden Gardens, Kolkata",2025-03-22,Liam Livingstone,15,2,1
"Eden Gardens, Kolkata",2025-03-22,Vaibhav Arora,3,1,0
"Eden Gardens, Kolkata",2025-03-22,Spencer Johnson,2.2,0,0
"Eden Gardens, Kolkata",2025-03-22,Varun Chakaravarthy,4,1,0
"Eden Gardens, Kolkata",2025-03-22,Harshit Rana,3,0,0
"Eden Gardens, Kolkata",2025-03-22,Sunil Narine,4,1,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Abhishek Sharma,24,5,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Head,67,9,3
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Ishan Kishan,106,11,6
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Nitish Reddy,30,4,1
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Klaasen (wk),34,5,1
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Aniket Verma,7,0,1
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Abhinav Manohar,0,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Cummins (c),0,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Fazalhaq Farooqi,3,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,M Theekshana,4,2,2
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Jofra Archer,4,0,1
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Sandeep Sharma,4,1,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Nitish Rana,1,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Tushar Deshpande,4,3,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Yashasvi Jaiswal,1,0,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Sanju Samson,66,7,4
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Riyan Parag (c),4,1,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Nitish Rana,11,2,0
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Dhruv Jurel (wk),70,5,6
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Shimron Hetmyer,42,1,4
"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,Shubham Dubey,34,1,4
