date,link,location
2025-03-22,https://www.cricbuzz.com/cricket-scores/114960/kkr-vs-rcb-1st-match-indian-premier-league-2025,"Eden Gardens, Kolkata"
2025-03-23,https://www.cricbuzz.com/cricket-scores/114967/srh-vs-rr-2nd-match-indian-premier-league-2025,"Rajiv Gandhi International Stadium, Hyderabad"
2025-03-23,https://www.cricbuzz.com/cricket-scores/114976/mi-vs-csk-3rd-match-indian-premier-league-2025,"MA Chidambaram Stadium, Chennai"
2025-03-24,https://www.cricbuzz.com/cricket-scores/114985/lsg-vs-dc-4th-match-indian-premier-league-2025,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
2025-03-25,https://www.cricbuzz.com/cricket-scores/114987/pbks-vs-gt-5th-match-indian-premier-league-2025,"Narendra Modi Stadium, Ahmedabad"
2025-03-26,https://www.cricbuzz.com/cricket-scores/114996/rr-vs-kkr-6th-match-indian-premier-league-2025,"Barsapara Cricket Stadium, Guwahati"
2025-03-27,https://www.cricbuzz.com/cricket-scores/115005/srh-vs-lsg-7th-match-indian-premier-league-2025,"Rajiv Gandhi International Stadium, Hyderabad"
2025-03-28,https://www.cricbuzz.com/cricket-scores/115012/rcb-vs-csk-8th-match-indian-premier-league-2025,"MA Chidambaram Stadium, Chennai"
2025-03-29,https://www.cricbuzz.com/cricket-scores/115014/gt-vs-mi-9th-match-indian-premier-league-2025,"Narendra Modi Stadium, Ahmedabad"
2025-03-30,https://www.cricbuzz.com/cricket-scores/115021/srh-vs-dc-10th-match-indian-premier-league-2025,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
2025-03-30,https://www.cricbuzz.com/cricket-scores/115030/rr-vs-csk-11th-match-indian-premier-league-2025,"Barsapara Cricket Stadium, Guwahati"
2025-03-31,https://www.cricbuzz.com/cricket-scores/115032/kkr-vs-mi-12th-match-indian-premier-league-2025,"Wankhede Stadium, Mumbai"
2025-04-01,https://www.cricbuzz.com/cricket-scores/115039/lsg-vs-pbks-13th-match-indian-premier-league-2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2025-04-02,https://www.cricbuzz.com/cricket-scores/115048/rcb-vs-gt-14th-match-indian-premier-league-2025,"M.Chinnaswamy Stadium, Bengaluru"
2025-04-03,https://www.cricbuzz.com/cricket-scores/115050/kkr-vs-srh-15th-match-indian-premier-league-2025,"Eden Gardens, Kolkata"
2025-04-04,https://www.cricbuzz.com/cricket-scores/115059/lsg-vs-mi-16th-match-indian-premier-league-2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2025-04-05,https://www.cricbuzz.com/cricket-scores/115068/dc-vs-csk-17th-match-indian-premier-league-2025,"MA Chidambaram Stadium, Chennai"
2025-04-05,https://www.cricbuzz.com/cricket-scores/115075/rr-vs-pbks-18th-match-indian-premier-league-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
2025-04-06,https://www.cricbuzz.com/cricket-scores/115093/srh-vs-gt-19th-match-indian-premier-league-2025,"Rajiv Gandhi International Stadium, Hyderabad"
2025-04-07,https://www.cricbuzz.com/cricket-scores/115095/rcb-vs-mi-20th-match-indian-premier-league-2025,"Wankhede Stadium, Mumbai"
2025-04-08,https://www.cricbuzz.com/cricket-scores/115084/lsg-vs-kkr-21st-match-indian-premier-league-2025,"Eden Gardens, Kolkata"
2025-04-08,https://www.cricbuzz.com/cricket-scores/115102/pbks-vs-csk-22nd-match-indian-premier-league-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
2025-04-09,https://www.cricbuzz.com/cricket-scores/115104/gt-vs-rr-23rd-match-indian-premier-league-2025,"Narendra Modi Stadium, Ahmedabad"
2025-04-10,https://www.cricbuzz.com/cricket-scores/115111/rcb-vs-dc-24th-match-indian-premier-league-2025,"M.Chinnaswamy Stadium, Bengaluru"
2025-04-11,https://www.cricbuzz.com/cricket-scores/115113/csk-vs-kkr-25th-match-indian-premier-league-2025,"MA Chidambaram Stadium, Chennai"
2025-04-12,https://www.cricbuzz.com/cricket-scores/115122/gt-vs-lsg-26th-match-indian-premier-league-2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2025-04-12,https://www.cricbuzz.com/cricket-scores/115129/pbks-vs-srh-27th-match-indian-premier-league-2025,"Rajiv Gandhi International Stadium, Hyderabad"
2025-04-13,https://www.cricbuzz.com/cricket-scores/115138/rr-vs-rcb-28th-match-indian-premier-league-2025,"Sawai Mansingh Stadium, Jaipur"
2025-04-13,https://www.cricbuzz.com/cricket-scores/115140/mi-vs-dc-29th-match-indian-premier-league-2025,"Arun Jaitley Stadium, Delhi"
2025-04-14,https://www.cricbuzz.com/cricket-scores/115149/lsg-vs-csk-30th-match-indian-premier-league-2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2025-04-15,https://www.cricbuzz.com/cricket-scores/115156/pbks-vs-kkr-31st-match-indian-premier-league-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
2025-04-16,https://www.cricbuzz.com/cricket-scores/115165/dc-vs-rr-32nd-match-indian-premier-league-2025,"Arun Jaitley Stadium, Delhi"
2025-04-17,https://www.cricbuzz.com/cricket-scores/115167/srh-vs-mi-33rd-match-indian-premier-league-2025,"Wankhede Stadium, Mumbai"
2025-04-18,https://www.cricbuzz.com/cricket-scores/115174/rcb-vs-pbks-34th-match-indian-premier-league-2025,"M.Chinnaswamy Stadium, Bengaluru"
2025-04-19,https://www.cricbuzz.com/cricket-scores/115176/dc-vs-gt-35th-match-indian-premier-league-2025,"Narendra Modi Stadium, Ahmedabad"
2025-04-19,https://www.cricbuzz.com/cricket-scores/115183/lsg-vs-rr-36th-match-indian-premier-league-2025,"Sawai Mansingh Stadium, Jaipur"
2025-04-20,https://www.cricbuzz.com/cricket-scores/115192/pbks-vs-rcb-37th-match-indian-premier-league-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
2025-04-20,https://www.cricbuzz.com/cricket-scores/115201/csk-vs-mi-38th-match-indian-premier-league-2025,"Wankhede Stadium, Mumbai"
2025-04-21,https://www.cricbuzz.com/cricket-scores/115210/gt-vs-kkr-39th-match-indian-premier-league-2025,"Eden Gardens, Kolkata"
2025-04-22,https://www.cricbuzz.com/cricket-scores/115212/lsg-vs-dc-40th-match-indian-premier-league-2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2025-04-23,https://www.cricbuzz.com/cricket-scores/115221/srh-vs-mi-41st-match-indian-premier-league-2025,"Rajiv Gandhi International Stadium, Hyderabad"
2025-04-24,https://www.cricbuzz.com/cricket-scores/115230/rcb-vs-rr-42nd-match-indian-premier-league-2025,"M.Chinnaswamy Stadium, Bengaluru"
2025-04-25,https://www.cricbuzz.com/live-cricket-scores/115239/csk-vs-srh-43rd-match-indian-premier-league-2025,"MA Chidambaram Stadium, Chennai"
2025-04-26,https://www.cricbuzz.com/live-cricket-scores/115248/pbks-vs-kkr-44th-match-indian-premier-league-2025,"Eden Gardens, Kolkata"
2025-04-27,https://www.cricbuzz.com/live-cricket-scores/115255/mi-vs-lsg-45th-match-indian-premier-league-2025,"Wankhede Stadium, Mumbai"
2025-04-27,https://www.cricbuzz.com/live-cricket-scores/115257/dc-vs-rcb-46th-match-indian-premier-league-2025,"Arun Jaitley Stadium, Delhi"
2025-04-28,https://www.cricbuzz.com/live-cricket-scores/115266/gt-vs-rr-47th-match-indian-premier-league-2025,"Sawai Mansingh Stadium, Jaipur"
2025-04-29,https://www.cricbuzz.com/live-cricket-scores/115275/kkr-vs-dc-48th-match-indian-premier-league-2025,"Arun Jaitley Stadium, Delhi"
2025-04-30,https://www.cricbuzz.com/live-cricket-scores/115282/csk-vs-pbks-49th-match-indian-premier-league-2025,"MA Chidambaram Stadium, Chennai"
2025-05-01,https://www.cricbuzz.com/live-cricket-scores/115291/rr-vs-mi-50th-match-indian-premier-league-2025,"Sawai Mansingh Stadium, Jaipur"
2025-05-02,https://www.cricbuzz.com/live-cricket-scores/115300/gt-vs-srh-51st-match-indian-premier-league-2025,"Narendra Modi Stadium, Ahmedabad"
2025-05-03,https://www.cricbuzz.com/live-cricket-scores/115302/rcb-vs-csk-52nd-match-indian-premier-league-2025,"M.Chinnaswamy Stadium, Bengaluru"
2025-05-04,https://www.cricbuzz.com/live-cricket-scores/115309/kkr-vs-rr-53rd-match-indian-premier-league-2025,"Eden Gardens, Kolkata"
2025-05-04,https://www.cricbuzz.com/live-cricket-scores/115318/pbks-vs-lsg-54th-match-indian-premier-league-2025,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2025-05-05,https://www.cricbuzz.com/live-cricket-scores/115327/srh-vs-dc-55th-match-indian-premier-league-2025,"Rajiv Gandhi International Stadium, Hyderabad"
2025-05-06,https://www.cricbuzz.com/live-cricket-scores/115336/mi-vs-gt-56th-match-indian-premier-league-2025,"Wankhede Stadium, Mumbai"
2025-05-07,https://www.cricbuzz.com/live-cricket-scores/115345/kkr-vs-csk-57th-match-indian-premier-league-2025,"Eden Gardens, Kolkata"
2025-05-08,https://www.cricbuzz.com/live-cricket-scores/115347/pbks-vs-dc-58th-match-indian-premier-league-2025,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2025-05-09,https://www.cricbuzz.com/live-cricket-scores/115354/lsg-vs-rcb-59th-match-indian-premier-league-2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2025-05-10,https://www.cricbuzz.com/live-cricket-scores/115356/srh-vs-kkr-60th-match-indian-premier-league-2025,"Rajiv Gandhi International Stadium, Hyderabad"
2025-05-11,https://www.cricbuzz.com/live-cricket-scores/115365/pbks-vs-mi-61st-match-indian-premier-league-2025,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2025-05-11,https://www.cricbuzz.com/live-cricket-scores/115372/dc-vs-gt-62nd-match-indian-premier-league-2025,"Arun Jaitley Stadium, Delhi"
